district,price,surface,rooms_num,floor_no,building_floors_num,construction_status,market,build_year,transit_dur_m
13,1519000.0,65.0,3.0,1.0,4.0,2,1,2011.0,36.583333333333336
9,550000.0,46.0,3.0,4.0,4.0,0,1,1969.0,55.18333333333333
9,1049000.0,82.5,4.0,2.0,7.0,1,0,2025.0,70.63333333333334
6,849990.0,60.0,2.0,9.0,15.0,2,1,2001.0,33.516666666666666
1,843024.0,75.27,4.0,0.0,2.0,1,0,2024.0,46.15
11,1000000.0,69.4,3.0,0.0,2.0,1,0,2025.0,54.61666666666667
15,930000.0,41.7,2.0,4.0,16.0,2,1,2007.0,31.5
13,730000.0,45.5,2.0,9.0,10.0,2,1,1970.0,36.68333333333333
1,610500.0,42.0,2.0,1.0,3.0,2,1,2012.0,49.78333333333333
9,900000.0,41.25,2.0,6.0,6.0,2,1,2023.0,48.03333333333333
1,669578.0,51.51,3.0,0.0,4.0,1,0,2027.0,57.8
15,1670000.0,72.6,3.0,9.0,12.0,2,1,1977.0,46.7
6,999000.0,59.0,3.0,1.0,6.0,2,1,2024.0,32.483333333333334
1,1198080.0,83.2,3.0,1.0,3.0,2,1,2024.0,44.06666666666667
1,1180000.0,91.5,4.0,1.0,6.0,0,1,2005.0,47.38333333333333
3,940000.0,68.2,3.0,1.0,4.0,0,1,1991.0,54.25
3,420000.0,18.8,1.0,3.0,15.0,0,1,1970.0,34.38333333333333
11,1059065.0,70.97,4.0,1.0,1.0,1,0,2027.0,60.61666666666667
1,452704.5,34.69,2.0,2.0,2.0,1,0,2026.0,48.93333333333333
13,1095000.0,43.78,2.0,5.0,10.0,2,1,2014.0,32.38333333333333
10,790000.0,61.1,3.0,2.0,4.0,0,1,1981.0,56.916666666666664
6,850000.0,54.5,2.0,2.0,10.0,2,1,1971.0,37.18333333333333
15,930000.0,51.21,3.0,7.0,9.0,2,1,1960.0,24.183333333333334
3,953343.0,53.52,3.0,1.0,7.0,1,0,2026.0,55.28333333333333
15,1190000.0,55.8,2.0,1.0,15.0,2,1,2007.0,32.016666666666666
0,1540000.0,95.0,3.0,2.0,4.0,2,1,2009.0,58.03333333333333
13,654000.0,38.3,2.0,5.0,10.0,1,0,2025.0,32.38333333333333
13,930375.0,56.0,3.0,4.0,10.0,1,0,2025.0,32.38333333333333
